words,count
14,234
17,167
14,234
11,316
24,80
9,371
28,77
26,77
19,142
18,148
13,267
10,377
7,457
8,385
18,148
8,385
10,377
17,167
75,2
30,54
25,92
11,316
17,167
11,316
26,77
7,457
3,590
5,496
8,385
28,77
8,385
5,496
18,148
8,385
5,496
25,92
17,167
21,141
30,54
20,117
3,590
3,590
3,590
6,471
3,590
5,496
3,590
9,371
3,590
3,590
26,77
21,141
7,457
5,496
3,590
3,590
11,316
8,385
13,267
10,377
8,385
3,590
3,590
6,471
13,267
9,371
18,148
11,316
11,316
9,371
9,371
3,590
3,590
3,590
3,590
9,371
3,590
8,385
4,513
9,371
3,590
47,10
16,195
10,377
13,267
22,111
14,234
15,221
3,590
6,471
13,267
10,377
3,590
13,267
14,234
4,513
29,52
10,377
14,234
19,142
12,280
9,371
6,471
7,457
59,2
31,50
12,280
15,221
17,167
5,496
3,590
5,496
8,385
4,513
10,377
13,267
3,590
7,457
6,471
13,267
6,471
13,267
7,457
4,513
18,148
4,513
7,457
14,234
36,35
16,195
18,148
53,5
3,590
6,471
23,110
13,267
8,385
5,496
8,385
5,496
14,234
26,77
3,590
10,377
16,195
3,590
10,377
21,141
23,110
25,92
9,371
18,148
20,117
21,141
14,234
14,234
11,316
16,195
6,471
22,111
29,52
18,148
17,167
14,234
18,148
11,316
7,457
28,77
20,117
26,77
17,167
24,80
16,195
3,590
9,371
18,148
14,234
22,111
12,280
21,141
10,377
12,280
14,234
10,377
3,590
3,590
12,280
8,385
9,371
4,513
3,590
19,142
15,221
9,371
12,280
24,80
4,513
13,267
42,15
4,513
11,316
43,13
5,496
8,385
17,167
15,221
9,371
5,496
27,54
4,513
24,80
10,377
6,471
5,496
5,496
7,457
9,371
3,590
3,590
11,316
12,280
6,471
21,141
47,10
3,590
14,234
3,590
4,513
4,513
5,496
21,141
12,280
9,371
15,221
6,471
9,371
21,141
6,471
6,471
35,20
33,25
14,234
10,377
12,280
23,110
6,471
6,471
18,148
23,110
12,280
5,496
38,25
15,221
17,167
19,142
11,316
6,471
25,92
8,385
7,457
28,77
5,496
21,141
15,221
12,280
10,377
19,142
4,513
21,141
5,496
9,371
8,385
13,267
15,221
4,513
21,141
18,148
15,221
10,377
26,77
7,457
5,496
13,267
18,148
12,280
18,148
16,195
32,41
20,117
6,471
5,496
19,142
6,471
17,167
8,385
7,457
10,377
3,590
4,513
6,471
3,590
4,513
5,496
3,590
25,92
16,195
15,221
12,280
3,590
8,385
103,2
13,267
5,496
16,195
7,457
51,10
22,111
4,513
10,377
17,167
20,117
14,234
12,280
15,221
24,80
11,316
5,496
7,457
3,590
14,234
17,167
8,385
10,377
12,280
8,385
10,377
7,457
6,471
23,110
5,496
4,513
5,496
123,1
4,513
11,316
16,195
4,513
19,142
6,471
7,457
3,590
9,371
7,457
3,590
19,142
41,21
10,377
7,457
8,385
16,195
6,471
9,371
7,457
3,590
6,471
12,280
6,471
8,385
4,513
23,110
15,221
9,371
15,221
20,117
38,25
29,52
19,142
9,371
13,267
6,471
10,377
6,471
9,371
7,457
13,267
8,385
6,471
6,471
9,371
14,234
22,111
8,385
8,385
11,316
7,457
9,371
32,41
20,117
26,77
12,280
16,195
12,280
10,377
5,496
10,377
14,234
12,280
30,54
21,141
19,142
3,590
13,267
27,54
10,377
6,471
26,77
13,267
8,385
33,25
4,513
9,371
13,267
8,385
32,41
7,457
7,457
11,316
4,513
3,590
12,280
23,110
17,167
39,16
8,385
3,590
16,195
13,267
7,457
33,25
14,234
5,496
6,471
10,377
16,195
6,471
10,377
6,471
6,471
9,371
13,267
18,148
19,142
4,513
57,4
37,25
21,141
30,54
37,25
47,10
8,385
9,371
4,513
10,377
21,141
7,457
14,234
13,267
7,457
17,167
9,371
4,513
6,471
32,41
23,110
20,117
3,590
3,590
5,496
51,10
31,50
12,280
17,167
6,471
7,457
11,316
8,385
17,167
3,590
11,316
15,221
13,267
19,142
8,385
8,385
7,457
22,111
29,52
27,54
10,377
29,52
7,457
5,496
21,141
11,316
17,167
3,590
61,5
7,457
15,221
4,513
51,10
5,496
5,496
20,117
14,234
10,377
9,371
6,471
4,513
7,457
3,590
8,385
12,280
15,221
10,377
11,316
32,41
12,280
4,513
3,590
37,25
5,496
32,41
21,141
15,221
5,496
23,110
12,280
11,316
7,457
8,385
14,234
38,25
23,110
15,221
14,234
42,15
4,513
5,496
4,513
9,371
15,221
4,513
7,457
8,385
25,92
11,316
6,471
24,80
5,496
18,148
5,496
18,148
14,234
3,590
21,141
7,457
6,471
17,167
27,54
6,471
10,377
19,142
3,590
26,77
7,457
45,11
9,371
3,590
18,148
3,590
30,54
10,377
27,54
22,111
28,77
5,496
11,316
16,195
4,513
8,385
22,111
67,3
30,54
3,590
6,471
5,496
49,10
13,267
6,471
14,234
8,385
14,234
35,20
68,2
13,267
11,316
4,513
25,92
15,221
38,25
8,385
5,496
5,496
8,385
12,280
13,267
7,457
3,590
40,24
6,471
4,513
5,496
4,513
3,590
5,496
7,457
10,377
4,513
3,590
15,221
16,195
3,590
11,316
13,267
25,92
14,234
6,471
23,110
46,10
4,513
96,3
18,148
17,167
13,267
27,54
22,111
33,25
7,457
5,496
4,513
9,371
5,496
3,590
4,513
3,590
6,471
4,513
19,142
13,267
10,377
6,471
16,195
24,80
4,513
6,471
19,142
9,371
13,267
6,471
8,385
15,221
51,10
3,590
12,280
7,457
3,590
7,457
4,513
19,142
17,167
16,195
71,2
10,377
10,377
10,377
5,496
10,377
13,267
5,496
9,371
11,316
30,54
12,280
19,142
38,25
19,142
23,110
14,234
3,590
10,377
6,471
12,280
26,77
11,316
9,371
25,92
5,496
9,371
5,496
5,496
6,471
10,377
9,371
4,513
4,513
12,280
31,50
16,195
32,41
15,221
4,513
17,167
3,590
10,377
4,513
3,590
4,513
43,13
3,590
13,267
5,496
6,471
3,590
3,590
4,513
6,471
10,377
30,54
11,316
14,234
15,221
24,80
20,117
11,316
8,385
18,148
11,316
23,110
8,385
15,221
6,471
40,24
21,141
10,377
29,52
12,280
14,234
15,221
18,148
6,471
4,513
9,371
6,471
5,496
16,195
12,280
15,221
23,110
7,457
9,371
28,77
7,457
6,471
11,316
21,141
12,280
16,195
11,316
10,377
11,316
13,267
10,377
13,267
5,496
4,513
3,590
13,267
9,371
16,195
13,267
7,457
5,496
19,142
24,80
4,513
19,142
7,457
6,471
8,385
18,148
20,117
4,513
3,590
36,35
5,496
13,267
10,377
6,471
23,110
7,457
21,141
14,234
3,590
10,377
19,142
278,1
8,385
16,195
13,267
6,471
4,513
17,167
44,10
4,513
3,590
8,385
4,513
12,280
8,385
7,457
8,385
3,590
7,457
32,41
4,513
12,280
10,377
8,385
5,496
4,513
14,234
9,371
23,110
14,234
10,377
10,377
18,148
12,280
22,111
7,457
3,590
5,496
11,316
7,457
15,221
9,371
15,221
17,167
3,590
5,496
6,471
21,141
36,35
3,590
18,148
23,110
18,148
7,457
8,385
12,280
5,496
20,117
5,496
5,496
7,457
5,496
25,92
8,385
11,316
10,377
38,25
21,141
11,316
15,221
3,590
7,457
7,457
3,590
