words,count
9,455
10,428
1,958
2,604
55,8
2,604
1,958
5,591
8,487
2,604
10,428
8,487
11,328
12,347
13,307
14,282
1,958
24,109
7,500
15,248
1,958
7,500
7,500
5,591
17,232
20,202
1,958
6,509
10,428
3,581
20,202
7,500
6,509
11,328
20,202
7,500
14,282
32,59
18,232
19,175
10,428
23,116
18,232
9,455
14,282
3,581
5,591
14,282
11,328
15,248
18,232
8,487
4,534
5,591
26,104
11,328
15,248
5,591
18,232
2,604
7,500
22,140
14,282
9,455
3,581
5,591
11,328
6,509
3,581
6,509
9,455
2,604
9,455
3,581
6,509
20,202
16,264
2,604
2,604
13,307
9,455
15,248
19,175
11,328
9,455
10,428
23,116
4,534
42,21
11,328
16,264
6,509
16,264
6,509
36,42
10,428
15,248
12,347
29,76
18,232
35,47
34,50
10,428
24,109
3,581
2,604
10,428
6,509
16,264
1,958
26,104
44,23
12,347
33,64
10,428
6,509
6,509
3,581
13,307
19,175
22,140
18,232
6,509
3,581
1,958
5,591
18,232
7,500
30,74
15,248
3,581
9,455
7,500
21,151
8,487
14,282
2,604
9,455
3,581
10,428
26,104
9,455
29,76
13,307
9,455
12,347
5,591
6,509
6,509
7,500
16,264
4,534
26,104
26,104
26,104
27,94
22,140
5,591
10,428
6,509
4,534
2,604
2,604
4,534
18,232
24,109
1,958
20,202
25,106
16,264
19,175
2,604
23,116
14,282
22,140
28,87
13,307
28,87
24,109
5,591
27,94
31,61
17,232
1,958
4,534
4,534
41,34
4,534
19,175
1,958
37,38
1,958
2,604
17,232
22,140
9,455
61,6
12,347
34,50
23,116
39,36
18,232
27,94
21,151
26,104
5,591
9,455
10,428
8,487
10,428
37,38
9,455
35,47
42,21
8,487
34,50
15,248
8,487
5,591
16,264
6,509
10,428
28,87
10,428
12,347
2,604
19,175
8,487
6,509
7,500
26,104
27,94
4,534
5,591
59,8
10,428
7,500
8,487
13,307
18,232
21,151
12,347
20,202
19,175
17,232
4,534
12,347
17,232
2,604
5,591
24,109
12,347
15,248
12,347
6,509
12,347
2,604
9,455
4,534
9,455
2,604
