android,swing,java,javascript
-189.9035452945154,-277.0516605509788,-379.01090245871654,-134.17068613570746
-229.79052949890695,-290.60173302828184,-225.60001631880704,-171.46986565700422
-185.01122881228937,-295.96528372452866,-299.61659048343756,-167.15029640014768
-246.92567810627926,-246.2711650152181,-396.56346384762514,-88.82351398799375
-231.0316375081547,-221.61617951605476,-191.3781306250994,-153.0844887365995
-161.37194620532708,-283.16404624358626,-242.64250814305404,-69.98578744108904
-178.22436569609243,-240.39419371360205,-323.43960522299585,-73.60101424371018
-180.55148732810173,-217.04727234424777,-314.38878925786673,-123.27129696614392
-130.7098121311459,-219.78173301318202,-322.83344215432317,-167.62678619805646
-193.9816369384306,-203.93189467671013,-278.01368367452255,-138.48391598053726
-170.0762612075503,-284.8393938992433,-303.60722085242645,-73.79499426522223
-209.93976686509143,-227.79523050831344,-334.85182271140195,-159.6008289722944
-180.48939416381253,-203.56559156541687,-274.96566509643606,-124.3409793523939
-153.09177648531212,-347.4176353335249,-272.6565049403518,-110.09328431411397
-134.36864381833283,-250.1328228056901,-339.7558327121899,-128.03081326846709
-213.4159361222828,-201.70008807484678,-268.29112991729687,-218.52148405441645
-230.87305671637995,-284.2862690538083,-197.22069243287766,-99.7695077716305
-143.74555726132968,-237.1922649182587,-221.23251981970972,-114.46535507144529
-174.32135364901993,-295.79332309432294,-201.93014655656216,-81.5833238895129
-180.08687586837024,-258.7725971663001,-269.8916783393492,-97.93261233056812
-195.74076499093857,-274.62016065537705,-266.6547031190296,-152.49156092584494
-74.62379824410887,-296.5734395265304,-243.0776180388755,-100.2947993788451
-202.14145859409774,-335.01055541569764,-271.80785974360583,-104.95705049487287
-190.4993677395415,-233.48835055448097,-322.26867972456324,-109.02168711555147
-186.89475740296209,-169.3192702257297,-280.4294178454103,-129.2701632263637
-184.35776781495,-241.34904401286397,-345.7696814563141,-88.53817892095982
-207.35274603299638,-245.7752205204009,-257.94891372377145,-132.97713551283223
-175.2173323360328,-245.6954886056392,-272.60707869906196,-90.92537358467344
-222.68244377083255,-288.0038036028789,-153.55013427229756,-78.77950746883215
-240.02403148469008,-280.94599915409464,-329.96453101998435,-86.91810049693622
-201.05963064975458,-302.29785718666005,-375.3310650626622,-125.09452775659634
-118.80392355681823,-213.72299163948043,-182.38230694676798,-177.48710639423746
-263.7094942929289,-273.9178730701503,-274.18105212085777,-185.5645396379753
-249.3861360977733,-227.60908273701622,-358.1791690699705,-143.1135067255799
-140.72690113329588,-271.74069712673275,-200.24422920674974,-146.56625318793758
-115.78985685239499,-256.34470594774456,-332.76523569601903,-64.05459946474987
-226.11147334481683,-299.2343972233256,-179.10291580473245,-121.14530994487166
-192.50170399313143,-257.8375571583265,-336.82572163446594,-124.43028050968768
-180.36713490603765,-212.83000612128617,-187.81488042625648,-112.7932013592753
-242.55692126029726,-212.4287074779103,-230.8032006042999,-96.63288696168865
-189.59894869501477,-239.72504741727764,-263.4551852043019,-91.7880944162361
-194.68544371946794,-239.9133904030089,-335.28178607329465,-111.2898013406201
-203.80706454830957,-213.27668584091265,-274.32533514043763,-154.05013069314964
-190.5678886335145,-233.87295323411345,-182.5294582849293,-149.93080517043705
-220.9402753081774,-313.6185039031979,-275.7188656648066,-123.4841376802157
-146.65338551508265,-232.12532984226414,-328.8884415287306,-90.33988838364766
-199.30640981225432,-234.1791081463976,-320.3931595622424,-148.58898361898784
-164.94775316580834,-312.4106850850056,-312.494561925801,-100.47478202073276
-163.52355362486801,-248.69621439720618,-349.64527249396485,-141.74955738345184
-163.48655875388425,-192.97276674851153,-270.2197113547997,-102.74931438084911
-192.75672942584717,-223.18937942526497,-203.17670595398255,-115.99283016047322
-217.9290407017013,-214.08346609196178,-320.3326497459371,-101.103825261911
-246.89882415629734,-264.657112494426,-240.8441185630846,-68.40721644249506
-205.3640492699104,-313.4583085854983,-257.32392305059676,-71.26125711438304
-203.97564155376767,-280.9844141770707,-256.6274348581964,-172.40100140016781
-233.17482623512728,-218.89933104236994,-317.914480210691,-190.0583328911665
-228.7200046156811,-257.3186382046499,-247.76637996263193,-148.8652938716304
-186.3721234273997,-312.25433373735166,-291.92859946442553,-88.16948287304648
-196.62283886893243,-274.49360597406377,-267.57067969883065,-92.96998905387262
-196.49765664389972,-233.20642087986243,-266.8375639674293,-110.78788070693359
-143.99286796983785,-219.9258433927762,-299.6063623092557,-140.91348954685864
