android,swing,swift,pel,matlab
-24383.46871019618,-21010.755452416277,-47043.68497650125,-33456.74737224743,-41562.755821216124
-44064.22256179344,-51111.91780610592,-137495.29913393647,-29486.866556426125,-134071.39400069753
-134545.8856028882,-269198.52546515455,-69050.16533989923,-15601.137169456424,-21909.717497998558
-88868.61289254151,-56730.16350837887,-35878.531175229225,-17280.665118531873,-24120.157952504538
-46974.469604553524,-29745.405889336005,-29664.46676032412,-154609.2711985082,-18938.9520860119
-30354.543443848084,-144448.90221752648,-73716.9919585998,-24046.428821180067,-35774.20718430237
-98272.64477152607,-40931.25299002024,-19681.014068857676,-47583.42415907053,-194704.06105745852
-41518.261413882814,-74968.01837163675,-12144.961352985207,-93021.33653974524,-67348.55343309572
-39472.039266735024,-92265.67229597949,-16920.50111916748,-8173.8792229224055,-95546.26265987207
-33498.25628539529,-135642.57394707046,-62891.94968804058,-48974.409117648385,-26670.211799069155
-58763.81824673225,-9621.760049685652,-25651.902554983008,-86311.73636340276,-47272.76039893571
-60541.466685536085,-205928.154783412,-103106.50615673253,-51384.076268385164,-98838.65380358402
-33335.469274573516,-31246.522620513908,-199979.37208907946,-28336.532779216803,-108472.88759354818
-136317.31415627402,-12761.098374749294,-23746.524729634115,-90620.24634215655,-14261.520086151413
-16260.524612033054,-71460.27000273715,-95141.44392733702,-38460.006019287604,-65390.50541601956
-105085.44153900733,-147624.6134496468,-17879.694706512815,-11183.096594833516,-68891.90573184074
-48427.46579991299,-43843.33358426339,-70691.50251299537,-15716.409901719673,-6742.824131370816
-145116.89895744907,-388030.7078685828,-58172.1381489933,-11440.661439350268,-34717.21290857229
-29906.430765029327,-122507.7466550798,-33019.858424282094,-29018.36659662454,-466554.7346488023
-126740.16715012581,-320698.8256658403,-42080.29946279037,-24220.125951604816,-46099.32077605192
-117154.09928258898,-188537.93160782193,-22012.629506897014,-19592.33621518257,-17776.129364509437
-51968.71064856385,-134685.228737205,-160812.0088933461,-23476.7298012444,-55140.67246652334
-35965.19528098468,-22828.208310193215,-77243.47512487009,-15225.214027407837,-44886.75605029102
-297300.12546478503,-47714.898586344425,-23618.577792024204,-16443.05414222981,-45980.45604397879
-92458.47254057117,-46696.19239201499,-426988.6645675484,-138096.997526122,-13533.159402900268
-37530.73932569713,-28340.380020520584,-15033.07708244354,-51045.315404653484,-60998.36543783429
-79845.420720326,-31681.92789988698,-40271.88660040807,-65791.4857616987,-18900.44005574931
-73541.29690535803,-54752.6944537942,-345733.8469266188,-48823.21574944157,-47132.66423502522
-217667.2441239307,-13990.364545124969,-54598.2177039882,-19966.395364680324,-129737.86601778332
-195679.2591168553,-83310.97810369931,-26299.813834568657,-42672.177409055264,-17087.594468332743
-85564.6391409354,-120063.9383242408,-96564.8938527929,-95974.28399052644,-44092.94700875049
-18675.297276823356,-27565.102769662277,-190601.34373448364,-83309.81730599163,-21537.62042460307
-18403.557050974592,-49961.698634142274,-96939.67610254914,-75253.19775341729,-62100.50101192294
-325515.4791851025,-59610.725250480595,-114677.54368266344,-22367.012114540506,-52876.73303618428
-20742.65449991192,-128083.29189806111,-78062.68716598181,-132181.02092760013,-67154.18369918829
-289753.7057343547,-151261.28582559907,-34487.317146226575,-83326.0958514843,-35434.413797537774
-235332.43637718368,-321392.3520065645,-20798.664934586464,-229589.9348929256,-60600.184508443745
-49786.42457675184,-66158.30025491283,-44743.31793676626,-36046.09127854354,-17457.947710373875
-14605.58794643908,-49591.61097673859,-42927.46734892906,-54318.93299903352,-151026.24981167607
-96441.00419379602,-66038.6599101945,-34820.580811398875,-88229.28245006797,-29976.0808390997
-49149.732041270865,-72629.30838872101,-82341.50937093496,-84136.27586910501,-26456.585971170407
-41504.08363358763,-18197.157653790568,-21626.33845029036,-84501.24193471877,-25833.328301442736
-86907.54540153405,-46874.34344557499,-44814.44781079403,-26635.081489135642,-65913.19629751239
-16032.896745355667,-227461.2848643064,-10029.863784168838,-27642.914594642643,-29716.937807811017
-26765.861798104972,-111039.79927266356,-83865.66648607579,-26949.636547164388,-217770.83767064838
-55448.18007528809,-122212.99868813434,-33846.61297666726,-67862.34555819728,-175704.90466166564
-419701.9324426523,-59354.138510620905,-473625.6395271244,-44352.94135791535,-45179.37514004932
-95499.82950761369,-73371.18966589047,-135432.3717393678,-15167.132651512708,-60893.50127112672
-34519.260502400764,-77609.2565471846,-58976.09744821931,-35292.71030130037,-79424.26880195983
-84777.19365519247,-132996.97199901254,-43821.46266198672,-52950.981822379814,-30224.673831295167
-150324.22958147444,-107184.3295794908,-34740.059153179485,-56236.020363968,-58982.30867365535
-44771.37459710076,-28044.481580132102,-117892.52253280014,-44260.29218771265,-150544.25677712128
-49630.9893562395,-199752.37369314348,-30302.06322808118,-101620.22972715624,-22724.877878843825
-80915.39873768215,-50893.383846777186,-9326.231185075741,-27469.36709972878,-35354.04100686147
-335510.21538727183,-85356.78540876134,-37763.85912046281,-43302.91346775034,-21241.78746119733
-64958.64636091443,-180090.19995042565,-45826.8230653067,-83914.5164892414,-47234.59821264341
-151100.80055980838,-89740.22861306494,-45853.093852329985,-33278.35099710364,-73968.49946891208
-174057.22096779884,-59225.6674963312,-69129.4641908995,-76545.26835909636,-101985.19178439511
-62053.24223950875,-89319.96956561538,-51187.3576780254,-42918.06960428012,-52778.74290840515
-74318.35608726139,-122547.16914719464,-34102.221096727386,-63156.01186210193,-15727.199268018305
-30839.666563164676,-65670.77826824233,-45597.125963905644,-133052.577984242,-43613.65754944053
-14300.514464004083,-33552.812499743144,-123570.91775289142,-14215.168649461591,-155482.75189839175
-19194.113757075495,-52093.12576178281,-29425.0536702683,-39029.37535687819,-15003.826611502727
-7692.251159343863,-45800.6316130054,-35646.04469922545,-66094.99675099956,-46458.97551020553
-117306.16060197534,-58115.434693628944,-45554.840379043846,-41386.48756250951,-32509.8647113222
-55507.43174219982,-44036.95000629744,-32437.5537554301,-65484.101820957425,-18434.568850242715
-202621.99709721984,-56422.09124772428,-42509.57996963056,-47754.39755572368,-64312.03524368077
-41578.1783203924,-170738.80162962247,-40719.8932810481,-161729.6572883225,-61527.72795288154
-94615.76247866623,-97842.90199191179,-33277.70299768723,-55939.45372576885,-68428.2926945759
-79707.74389772037,-200486.9107791326,-80946.74470272599,-22232.310306177063,-38726.93880846745
-158475.37717864336,-58853.63835954661,-58664.44083849797,-58070.28181293351,-16793.234492510994
-17064.359027809016,-72137.63731616685,-405005.2895647141,-80754.23823630228,-44441.20914524728
-100441.46208843896,-68763.96838099882,-101834.53283152275,-71524.64714770454,-58809.35992805263
-66001.8642963648,-97727.23712155764,-62466.84008005386,-12054.76673177844,-68100.00924613538
-241721.78123851036,-92775.37970942812,-61175.338652528284,-102150.38440270668,-37319.77014607277
-39233.83089507699,-145109.05072013944,-23470.62086948894,-40388.797389407686,-21987.864466540614
-50954.30548422413,-23012.99342347051,-20409.78590194849,-101334.37045517813,-47069.50279880862
-12784.167693973675,-29542.176264168647,-374944.73979205755,-92051.08542315921,-85585.46881875477
-68434.42559479986,-49628.21514371236,-60221.604850633375,-67321.15001485182,-29989.048660030774
-68452.27308032746,-91535.98727266389,-23068.956845471846,-12998.211806916883,-35555.76195430162
-89107.74946824068,-26871.650283383446,-39373.98576673041,-158808.46397248804,-43762.676749671926
-14879.001329634772,-25748.16074755789,-52628.80457235848,-21130.325049058523,-16122.738167849404
-95316.60303842912,-162263.01816708106,-175898.10295893135,-68854.08421657041,-123044.67695250057
-205309.73528177975,-54774.32829246475,-28547.772971444654,-217946.06215379768,-11199.016842144061
-209338.88472798097,-79528.8984936444,-37893.69122560427,-62728.12004917219,-29935.755333467645
-42192.96443011471,-119915.55358836916,-31976.752965499345,-47336.06339624149,-24741.9629647103
-16586.020456241295,-13032.613695528573,-197456.49133824423,-80462.59932277205,-34162.73407112804
-30657.89130613304,-160105.8270095699,-24242.36638077986,-14184.297763215993,-108405.75737432552
-34999.70818615892,-30198.540730898418,-29943.350683115175,-36824.01007423956,-27462.884207094627
-225784.8408394086,-72313.68168619958,-57849.01919563194,-162463.7266865844,-16566.12679271591
-45678.38485297869,-67945.8553809827,-31299.211569357245,-190432.77583618215,-56429.59763785654
